source0 source1 source2 source3
1.2996167740529934 1.3344146271628081 1.3166933845780826 1.3268027191407965
1.296835743568167 1.309666153543573 1.2858075284111048 1.3049559485864697
1.3159605642340926 1.2977307171219266 1.3081389681730275 1.3304745723493017
1.304567795041041 1.3079648791404477 1.2956420627115885 1.3048068460249316
1.295132696938203 1.2955826375121333 1.2940061611984794 1.3003761263584208
1.3146072315499238 1.3228291738343676 1.3319801538208182 1.3362185666121271
1.3042407900251562 1.2824904372728279 1.3169177442664843 1.2970146457864435
1.3002618109637156 1.3193409939250906 1.3027881539546369 1.314291704479381
1.287617152040856 1.3016548352472843 1.2731147413629915 1.2894591592158962
1.2947584515920898 1.3132365610748096 1.304150438447214 1.3071546362968136
1.3091595808148622 1.294200351428312 1.2854503680034086 1.2854669465767012
1.3036145960366643 1.3327740182870575 1.3301547271482879 1.3133836908632843
1.3093890204926808 1.3248734749038835 1.3341708191549575 1.3129950804837034
1.3260181223271417 1.333072826552981 1.317729468402581 1.344627471143535
1.3184421850199541 1.3127687025530088 1.2911373167856908 1.3055849434157474
1.3132790675633619 1.296256349750895 1.287850579200151 1.3079024623139204
1.296751684483432 1.28634204300711 1.3001185817853689 1.3033058744567698
1.3213139838741537 1.316379075708149 1.3013965343130922 1.3184550401575397
1.3053986812880545 1.2858666744331166 1.3217569257742963 1.3224261746152
1.2981295788403042 1.2882028684795415 1.2942384208234474 1.2938487209932577
1.3220531741271626 1.3163742243788277 1.3276554343678504 1.3228001834690155
1.2897041044941102 1.2916757089061144 1.3063414349390585 1.321074643079894
1.3161561451848598 1.3201361013792827 1.311985581565848 1.3212324998516247
1.319787531782905 1.3212588538501286 1.3282921965920653 1.34101683050466
1.334040756921967 1.3275862698408398 1.3353198142098734 1.310499700317804
1.3212077082662266 1.3313150349245977 1.313967523176406 1.3128889981150376
1.2869745207078145 1.2960022811291692 1.3084032004645718 1.2988905286793608
1.325193131322054 1.3282954097215662 1.3115078167668506 1.3053621745540434
1.3034629599517216 1.316799169601385 1.3086826915415668 1.3233110877787593
1.3143123198353341 1.3386934959679717 1.3101497648246514 1.3200335090094766
1.295002610857989 1.2759972477149901 1.3049588990497765 1.311361824231379
1.2849447985379043 1.2908215524512205 1.2883303938351318 1.2778861907158727
1.308205041228084 1.3133992078592411 1.317429395380054 1.3049254773628212
1.3047491953750763 1.3224276773868815 1.2906036500505218 1.310476879430199
1.313542524255517 1.2966485739288538 1.2933151268354197 1.3089252479137403
1.3258726534315752 1.326725880847706 1.312439652836658 1.3183532761122136
1.3045581468634226 1.288142956976118 1.2946542392096976 1.3049122747651636
1.3347336934704166 1.3061354973554926 1.3203351593376216 1.3257831999634677
1.3000395330724248 1.2852969282421418 1.3088205943525906 1.2859829787174135
1.2841840908526365 1.312327796996589 1.308929113131275 1.2877105677857383
1.3084349951450966 1.3192670848644727 1.312286495215602 1.309222582799122
1.2927449094744303 1.3177986445179002 1.3036886157223049 1.3152064207727796
1.3234256014676675 1.3083625297973598 1.3244006627200535 1.3131049914606792
1.2991237152908799 1.303089699509227 1.2960488174733364 1.3060857441378324
1.3262668254357717 1.3023382795085208 1.302807193431735 1.3292001176246204
1.3114428592790977 1.3144479377901848 1.2999478456683438 1.292266418603137
1.3071946570590078 1.279612073323305 1.2895107620146673 1.3010234710126225
1.2968240267013436 1.3108452923368865 1.2926795909260103 1.3046697228650603
1.3098864587223726 1.2922915050141053 1.2859451524009886 1.3195279030165523
1.3153967505215138 1.3096303432131076 1.3167539470308347 1.3182475095657393
